Date and time: 
Participant #: 
Day: 
Age: 
_____________________________________________________________________________________________________________________________________________________________________
Trial#  , Correct , Button Correct , Button Pressed , Level, Score, #RedWeights, #YellowWeights ,TimeSet, TimeChoose, TimeTotal, RedPos1, RedPos2, YellPos1, YellPos2
_____________________________________________________________________________________________________________________________________________________________________
-5,0,0,0|5,0,0,0
-5,0,0,0|5,0,0,0
-6,0,0,0|6,0,0,0
-3,0,0,0|3,0,0,0
-2,0,0,0|2,0,0,0
-2,3,0,0|0,0,0,0
-2,5,0,0|0,0,0,0
0,0,0,0|-3,5,0,0
0,0,0,0|-6,3,0,0
0,0,0,0|-6,2,0,0
0,4,0,0|-2,0,0,0
-5,0,0,0|0,4,0,0
0,5,0,0|-6,0,0,0
-4,0,0,0|6,0,0,0
0,6,0,0|-3,0,0,0
-2,0,0,0|1,0,0,0
0,4,0,0|-3,0,0,0
0,4,0,0|-1,0,0,0
-6,0,0,0|0,6,0,0
0,4,0,0|-2,0,0,0
0,6,0,0|-5,0,0,0
0,1,0,0|-3,0,0,0
0,1,0,0|-6,0,0,0
-3,0,0,0|6,0,0,0
0,5,0,0|-2,0,0,0
-1,-5,6,4|0,0,0,0
-4,0,0,0|-5,1,5,0
